attendance_id,dli_number,parade_date,attendance_status,late_status,excused_leave
ATT09666,DLI25SDA000036,2025-10-05,Absent,N,no
ATT07222,DLI24SDA000039,2025-10-16,Present,no,No
ATT07451,DLI24SDA000044,2024-09-22,Present,No,No
ATT03471,DLI23SDA000033,2026-04-18,Present,no,no
ATT01602,DLI22SDA000060,2024-10-04,Present,no,NO
ATT08570,DLI24SDA000066,2024-09-01,Present,no,No
ATT05690,DLI24SDA000009,2025-09-28,ABSENT,No,No
ATT08816,DLI24SDA000070,2026-05-02,Present,NO,No
ATT01942,DLI23SDA000002,2024-08-24,Present,NO,NO
ATT01669,DLI22SDA000062,2025-03-02,Present,No,No
ATT05394,DLI24SDA000003,2026-02-28,Present,No,NO
ATT04659,DLI23SDA000058,2025-10-05,Absent,N,NO
ATT02876,DLI23SDA000021,2025-05-03,Present,no,No
ATT04142,DLI23SDA000047,2026-03-28,present,N,No
ATT06274,DLI24SDA000021,2024-08-24,Present,No,No
ATT03581,DLI23SDA000036,2024-10-20,Present,NO,N
ATT01436,DLI22SDA000054,2024-09-01,Absent,No,No
ATT01470,DLI22SDA000055,2024-10-26,Present,No,NO
ATT08776,DLI24SDA000070,2024-09-14,Present,no,NO
ATT06433,DLI24SDA000024,2024-10-13,Present,NO,NO
ATT03334,DLI23SDA000031,2024-08-24,Present,No,N
ATT02912,DLI23SDA000022,2024-11-10,PRESENT,no,N
ATT08914,DLI25SDA000004,2026-07-11,Present,No,NO
ATT05166,DLI23SDA000069,2024-10-26,Present,NO,NO
ATT06587,DLI24SDA000027,2024-10-20,Present,No,N
ATT09832,DLI25SDA000043,2025-09-21,Present,N,N
ATT05890,DLI24SDA000013,2025-08-17,Present,N,No
ATT06123,DLI24SDA000018,2024-09-08,Present,N,no
ATT00213,DLI22SDA000008,2025-04-12,Present,yes,N
ATT06995,DLI24SDA000035,2024-10-20,present,N,No
ATT04328,DLI23SDA000051,2026-01-17,Present,Y,NO
ATT06490,DLI24SDA000025,2024-11-30,Present,no,no
ATT02390,DLI23SDA000011,2025-01-26,Present,No,No
ATT01018,DLI22SDA000038,2025-01-05,Present,NO,no
ATT06718,DLI24SDA000029,2026-01-31,Present,No,No
ATT06405,DLI24SDA000023,2025-10-05,Present,No,no
ATT07468,DLI24SDA000044,2025-04-27,Present,No,N
ATT07590,DLI24SDA000046,2026-04-18,Present,NO,no
ATT05566,DLI24SDA000007,2024-10-13,Present,No,No
ATT02255,DLI23SDA000008,2025-08-24,Present,No,NO
ATT05758,DLI24SDA000010,2026-07-11,Present,NO,N
ATT05160,DLI23SDA000069,2024-09-08,Present,No,no
ATT01011,DLI22SDA000038,2024-10-26,Present,No,No
ATT05691,DLI24SDA000009,2025-10-05,Present,N,N
ATT10438,DLI25SDA000068,2026-01-03,Present,No,No
ATT08584,DLI24SDA000066,2025-01-05,Absent,NO,N
ATT06317,DLI24SDA000021,2026-05-02,Present,No,NO
ATT03679,DLI23SDA000038,2024-10-31,Present,N,no
ATT02845,DLI23SDA000020,2026-03-21,Present,No,no
ATT03022,DLI23SDA000024,2025-08-17,Absent,NO,Yes
ATT03947,DLI23SDA000043,2026-02-08,Present,no,no
ATT07802,DLI24SDA000051,2024-08-08,Present,no,N
ATT05150,DLI23SDA000068,2026-03-28,PRESENT,No,No
ATT05261,DLI24SDA000001,2024-10-20,Present,N,N
ATT09478,DLI25SDA000028,2026-01-03,present,No,N
ATT07201,DLI24SDA000039,2024-10-31,Present,NO,No
ATT08885,DLI25SDA000003,2026-03-28,Absent,No,No
ATT01337,DLI22SDA000050,2024-11-10,present,No,no
ATT03553,DLI23SDA000035,2025-09-21,Present,Yes,No
ATT01208,DLI22SDA000045,2025-01-26,Present,NO,NO
ATT07378,DLI24SDA000042,2026-01-03,Present,No,No
ATT03925,DLI23SDA000043,2025-01-05,Present,NO,no
ATT07625,DLI24SDA000047,2025-08-24,Present,no,N
ATT08640,DLI24SDA000067,2025-04-12,Present,no,N
ATT09520,DLI25SDA000030,2025-09-21,Absent,N,No
ATT05074,DLI23SDA000067,2024-11-30,PRESENT,No,N
ATT10126,DLI25SDA000055,2026-01-03,Present,N,no
ATT06877,DLI24SDA000032,2026-04-25,Present,YES,no
ATT03862,DLI23SDA000042,2024-08-24,Present,NO,no
ATT04880,DLI23SDA000063,2024-11-10,Present,NO,N
ATT05464,DLI24SDA000005,2024-10-13,Present,NO,NO
ATT05709,DLI24SDA000009,2026-07-25,Present,No,no
ATT01082,DLI22SDA000041,2024-08-08,Present,N,No
ATT08030,DLI24SDA000055,2025-05-03,present,no,No
ATT01140,DLI22SDA000043,2024-09-08,Present,NO,no
ATT06323,DLI24SDA000022,2024-08-08,Present,NO,no
ATT08845,DLI25SDA000002,2025-08-17,Present,N,No
ATT08733,DLI24SDA000069,2024-11-17,Present,NO,No
ATT10460,DLI25SDA000069,2025-11-15,Present,No,N
ATT01869,DLI22SDA000070,2024-09-08,Present,No,No
ATT09525,DLI25SDA000030,2025-12-08,Present,No,No
ATT06437,DLI24SDA000024,2024-11-10,Present,No,N
ATT06732,DLI24SDA000030,2024-08-17,Present,N,No
ATT06586,DLI24SDA000027,2024-10-13,Present,N,N
ATT05943,DLI24SDA000014,2025-09-06,Present,N,No
ATT02141,DLI23SDA000006,2024-10-20,Present,No,N
ATT06976,DLI24SDA000034,2026-03-21,Present,no,no
ATT06410,DLI24SDA000023,2026-01-17,Present,N,NO
ATT04433,DLI23SDA000053,2026-05-02,Absent,no,No
ATT10435,DLI25SDA000068,2025-10-16,PRESENT,no,No
ATT08878,DLI25SDA000003,2026-01-03,Present,No,N
ATT01132,DLI22SDA000042,2025-04-27,Present,N,N
ATT06107,DLI24SDA000017,2026-02-08,Present,No,No
ATT08503,DLI24SDA000064,2026-01-31,Present,Yes,NO
ATT07791,DLI24SDA000050,2026-02-28,Present,No,N
ATT01550,DLI22SDA000058,2024-10-20,Present,N,No
ATT03772,DLI23SDA000040,2024-10-13,Present,No,N
ATT06138,DLI24SDA000018,2025-02-01,Present,No,NO
ATT00361,DLI22SDA000014,2024-10-13,Present,no,No
ATT00822,DLI22SDA000031,2024-10-26,Absent,NO,N
ATT02168,DLI23SDA000006,2026-01-17,Absent,N,No
ATT06372,DLI24SDA000022,2026-07-25,Present,no,N
ATT00933,DLI22SDA000035,2024-11-17,Present,No,No
ATT06836,DLI24SDA000032,2024-09-01,Absent,no,NO
ATT02272,DLI23SDA000008,2026-04-25,Present,N,N
ATT05120,DLI23SDA000068,2024-11-10,present,N,No
ATT04231,DLI23SDA000049,2026-01-03,P,No,No
ATT08882,DLI25SDA000003,2026-02-08,Present,N,No
ATT00238,DLI22SDA000009,2025-03-02,Present,No,No
ATT02502,DLI23SDA000013,2025-12-08,Present,Yes,N
ATT03121,DLI23SDA000026,2025-09-21,Present,YES,no
ATT10249,DLI25SDA000060,2026-01-31,Present,NO,NO
ATT05364,DLI24SDA000003,2024-10-26,Present,No,No
ATT05946,DLI24SDA000014,2025-10-05,Absent,NO,Yes
ATT04993,DLI23SDA000065,2025-09-21,Present,N,no
ATT02098,DLI23SDA000005,2024-11-30,Present,No,No
ATT03106,DLI23SDA000026,2024-11-30,Present,N,N
ATT00895,DLI22SDA000034,2024-08-24,Present,Y,no
ATT09897,DLI25SDA000045,2026-05-17,Present,no,No
ATT03237,DLI23SDA000029,2024-08-17,P,no,N
ATT06825,DLI24SDA000031,2026-04-18,Present,No,No
ATT00001,DLI22SDA000001,2024-08-04,Present,No,no
ATT01174,DLI22SDA000044,2024-10-31,P,no,N
ATT10831,DLI25SDA009233,2025-04-27,PRESENT,yes,Y
ATT07703,DLI24SDA000049,2024-09-01,Present,no,No
ATT07010,DLI24SDA000035,2025-05-03,PRESENT,No,no
ATT06953,DLI24SDA000034,2025-01-26,Present,no,No
ATT01017,DLI22SDA000038,2024-12-15,Present,N,no
ATT00954,DLI22SDA000036,2024-10-04,present,No,No
ATT08816,DLI24SDA000070,2026-05-02,Present,NO,No
ATT09988,DLI25SDA000049,2026-03-21,P,N,N
ATT05610,DLI24SDA000008,2024-08-17,Present,No,NO
ATT05267,DLI24SDA000001,2024-12-07,present,NO,no
ATT01645,DLI22SDA000061,2025-04-27,Present,NO,no
ATT04840,DLI23SDA000062,2025-03-02,present,NO,NO
ATT04254,DLI23SDA000050,2024-10-26,Present,NO,No
ATT04270,DLI23SDA000050,2025-08-17,Present,No,N
ATT01172,DLI22SDA000044,2024-10-20,present,No,No
ATT04579,DLI23SDA000057,2024-08-04,Present,NO,No
ATT10920,UNKNOWN_CADET,2025-08-24,PRESENT,no,Yes
ATT04190,DLI23SDA000048,2026-03-28,Present,no,N
ATT10077,DLI25SDA000053,2025-12-08,Present,No,N
ATT09479,DLI25SDA000028,2026-01-17,Present,NO,no
ATT04663,DLI23SDA000058,2026-01-03,Present,No,NO
ATT06086,DLI24SDA000017,2025-01-26,Present,yes,No
ATT03345,DLI23SDA000031,2024-11-17,Present,NO,NO
ATT02839,DLI23SDA000020,2026-01-03,Absent,NO,N
ATT01108,DLI22SDA000042,2024-08-04,Present,No,NO
ATT07997,DLI24SDA000054,2026-03-28,Present,No,no
ATT07040,DLI24SDA000036,2024-09-01,Present,NO,no
ATT09973,DLI25SDA000049,2025-08-17,Present,no,N
ATT08481,DLI24SDA000064,2024-12-15,Present,N,NO
ATT10551,DLI26SDA000009,2026-07-25,P,N,No
ATT00746,DLI22SDA000028,2024-12-07,Present,No,NO
ATT10944,DLI23SDA009970,2026-01-03,PRESENT,N,No
ATT09267,DLI25SDA000019,2026-02-28,Present,No,N
ATT09039,DLI25SDA000010,2025-09-06,Present,No,no
ATT08815,DLI24SDA000070,2026-04-25,Present,N,N
ATT03342,DLI23SDA000031,2024-10-26,Present,No,no
ATT03960,DLI23SDA000044,2024-09-08,Present,N,No
ATT04636,DLI23SDA000058,2024-10-13,Absent,N,no
ATT09563,DLI25SDA000031,2026-07-18,present,NO,No
ATT07503,DLI24SDA000045,2024-10-04,Present,no,No
ATT06678,DLI24SDA000028,2026-07-25,Present,N,No
ATT00219,DLI22SDA000009,2024-08-17,Present,NO,NO
ATT01676,DLI22SDA000063,2024-08-08,Present,No,NO
ATT00779,DLI22SDA000029,2025-03-29,Present,YES,No
ATT09781,DLI25SDA000041,2025-08-17,Present,no,N
ATT07707,DLI24SDA000049,2024-10-04,Present,NO,N
ATT05188,DLI23SDA000069,2025-10-16,Present,no,N
ATT05387,DLI24SDA000003,2025-11-15,Present,N,N
ATT03983,DLI23SDA000044,2025-08-24,Present,No,N
ATT08337,DLI24SDA000061,2025-05-10,Present,NO,No
ATT06285,DLI24SDA000021,2024-11-17,Present,No,No
ATT08318,DLI24SDA000061,2024-09-22,Present,no,No
ATT06603,DLI24SDA000027,2025-05-10,Present,N,No
ATT05018,DLI23SDA000066,2024-09-22,Present,Y,no
ATT03627,DLI23SDA000037,2024-10-04,Present,No,NO
ATT03524,DLI23SDA000035,2024-08-08,Absent,NO,N
ATT08888,DLI25SDA000003,2026-05-02,Present,No,no
ATT08511,DLI24SDA000064,2026-05-17,Present,no,No
ATT07106,DLI24SDA000037,2025-01-26,Present,N,NO
ATT05746,DLI24SDA000010,2026-01-03,Absent,NO,No
ATT00263,DLI22SDA000010,2025-01-26,present,NO,No
ATT00105,DLI22SDA000004,2025-04-12,Present,N,NO
ATT03450,DLI23SDA000033,2025-04-12,Present,N,No
ATT01243,DLI22SDA000047,2024-08-04,present,N,N
ATT01251,DLI22SDA000047,2024-10-04,Present,No,NO
ATT01198,DLI22SDA000045,2024-10-13,Present,yes,No
ATT00259,DLI22SDA000010,2024-11-30,Present,no,no
ATT09590,DLI25SDA000033,2025-08-24,Present,no,NO
ATT04790,DLI23SDA000061,2025-01-26,Present,NO,No
ATT01031,DLI22SDA000039,2024-09-01,Present,No,No
ATT07822,DLI24SDA000051,2025-03-02,Absent,NO,No
ATT10585,DLI26SDA000021,2026-07-11,Present,NO,NO
ATT04685,DLI23SDA000059,2024-10-20,Present,no,No
ATT10571,DLI26SDA000016,2026-07-18,Present,No,NO
ATT10840,DLI25SDA009047,2026-05-02,Absent,No,No
ATT09310,DLI25SDA000021,2026-01-03,Present,No,No
ATT01642,DLI22SDA000061,2025-03-02,Present,N,No
ATT10103,DLI25SDA000054,2026-01-17,Present,No,N
ATT10261,DLI25SDA000061,2025-08-17,Present,NO,NO
ATT00675,DLI22SDA000025,2025-05-10,present,no,NO
ATT01077,DLI22SDA000040,2025-04-12,Present,No,No
ATT01173,DLI22SDA000044,2024-10-26,Present,N,No
ATT02399,DLI23SDA000011,2025-08-24,present,NO,No
ATT08770,DLI24SDA000070,2024-08-04,PRESENT,No,NO
ATT05545,DLI24SDA000006,2026-01-31,Present,NO,No
ATT03538,DLI23SDA000035,2024-11-30,P,no,No
ATT05373,DLI24SDA000003,2025-02-01,P,NO,no
ATT00582,DLI22SDA000022,2024-11-17,Absent,No,N
ATT05180,DLI23SDA000069,2025-05-03,Present,No,No
ATT03694,DLI23SDA000038,2025-08-17,Present,No,No
ATT10629,DLI26SDA000035,2026-07-25,Present,No,No
ATT06791,DLI24SDA000031,2024-10-20,Present,N,No
ATT00196,DLI22SDA000008,2024-09-14,Absent,N,No
ATT04643,DLI23SDA000058,2024-12-07,Present,no,NO
ATT02593,DLI23SDA000015,2025-09-21,Present,No,N
ATT07494,DLI24SDA000044,2026-07-25,Present,No,No
ATT07887,DLI24SDA000052,2025-12-08,Present,N,NO
ATT10265,DLI25SDA000061,2025-09-28,Present,no,No
ATT09558,DLI25SDA000031,2026-04-18,Absent,no,N
ATT03926,DLI23SDA000043,2025-01-26,Present,no,No
ATT10582,DLI26SDA000020,2026-07-11,Present,yes,N
ATT07352,DLI24SDA000042,2024-10-20,Present,no,No
ATT01457,DLI22SDA000054,2025-05-03,Absent,N,No
ATT06368,DLI24SDA000022,2026-05-02,Present,No,NO
ATT05486,DLI24SDA000005,2025-09-28,PRESENT,No,No
ATT03101,DLI23SDA000026,2024-10-20,Absent,no,NO
ATT04206,DLI23SDA000049,2024-10-26,Present,yes,No
ATT03968,DLI23SDA000044,2024-11-10,Present,N,No
ATT03294,DLI23SDA000030,2024-10-26,Present,No,NO
ATT10530,DLI26SDA000002,2026-07-25,Present,No,N
ATT10934,DLI23SDA009405,2026-01-17,PRESENT,N,N
ATT01523,DLI22SDA000057,2024-10-20,Present,YES,no
ATT09197,DLI25SDA000016,2026-03-28,Absent,NO,N
ATT09819,DLI25SDA000042,2026-02-28,Present,Yes,N
ATT01430,DLI22SDA000053,2025-05-03,Present,no,NO
ATT08230,DLI24SDA000059,2025-03-02,Absent,NO,NO
ATT05679,DLI24SDA000009,2025-02-01,Present,No,No
ATT08639,DLI24SDA000067,2025-03-29,Present,No,No
ATT02127,DLI23SDA000005,2026-04-18,Present,No,NO
ATT08897,DLI25SDA000004,2025-09-28,Present,No,N
ATT10656,DLI26SDA000044,2026-07-25,Present,No,N
ATT09805,DLI25SDA000042,2025-08-17,Present,no,N
ATT02430,DLI23SDA000012,2024-10-26,Absent,no,No
ATT04409,DLI23SDA000053,2025-03-29,Present,No,NO
ATT10899,DLI99SDA009999,2026-01-31,Absent,yes,Yes
ATT10397,DLI25SDA000066,2026-03-28,Present,No,No
ATT05614,DLI24SDA000008,2024-09-14,Present,No,no
ATT02152,DLI23SDA000006,2025-03-02,Present,N,NO
ATT10115,DLI25SDA000054,2026-07-18,Present,N,No
ATT00995,DLI22SDA000037,2025-03-29,present,N,No
ATT10268,DLI25SDA000061,2025-11-15,Present,N,no
ATT08588,DLI24SDA000066,2025-03-29,Present,NO,No
ATT02931,DLI23SDA000022,2025-10-05,Present,No,No
ATT07810,DLI24SDA000051,2024-10-13,Present,No,N
ATT03073,DLI23SDA000025,2025-09-21,Absent,no,No
ATT03192,DLI23SDA000028,2024-09-08,Present,No,N
ATT05708,DLI24SDA000009,2026-07-18,Present,No,No
ATT06309,DLI24SDA000021,2026-01-24,Present,N,No
ATT01725,DLI22SDA000064,2025-04-12,Present,no,No
ATT00630,DLI22SDA000024,2024-10-04,Absent,No,No
ATT02966,DLI23SDA000023,2025-01-26,Present,No,No
ATT08740,DLI24SDA000069,2025-03-02,Present,NO,N
ATT09994,DLI25SDA000049,2026-07-11,Present,No,no
ATT03660,DLI23SDA000037,2026-02-28,Present,no,N
ATT05775,DLI24SDA000011,2024-11-17,Absent,NO,No
ATT00147,DLI22SDA000006,2024-10-26,Present,no,N
ATT08223,DLI24SDA000059,2024-11-17,P,N,No
ATT04694,DLI23SDA000059,2025-01-26,Present,No,No
ATT06711,DLI24SDA000029,2025-10-05,Present,NO,N
ATT07258,DLI24SDA000040,2025-01-05,Absent,N,No
ATT04324,DLI23SDA000051,2025-10-16,Present,no,no
ATT00292,DLI22SDA000011,2025-03-02,present,No,No
ATT08448,DLI24SDA000063,2025-12-08,Present,No,N
ATT05944,DLI24SDA000014,2025-09-21,Present,N,N
ATT07867,DLI24SDA000052,2024-11-30,Present,No,No
ATT01835,DLI22SDA000068,2025-05-03,A,N,No
ATT10331,DLI25SDA000063,2026-07-18,Present,NO,NO
ATT03563,DLI23SDA000035,2026-02-08,Absent,No,Y
ATT03068,DLI23SDA000025,2025-05-03,Present,No,NO
ATT03167,DLI23SDA000027,2025-08-24,Present,No,NO
ATT05219,DLI23SDA000070,2024-12-07,present,Y,No
ATT07732,DLI24SDA000049,2025-10-16,Present,NO,N
ATT10711,DLI26SDA000063,2026-07-11,Present,No,No
ATT09728,DLI25SDA000038,2026-05-02,Present,no,No
ATT06183,DLI24SDA000019,2024-11-17,Present,no,N
ATT03578,DLI23SDA000036,2024-09-22,Present,yes,NO
ATT01597,DLI22SDA000060,2024-08-24,Present,NO,N
ATT09183,DLI25SDA000016,2025-09-06,Present,no,N
ATT09113,DLI25SDA000013,2025-09-28,PRESENT,N,N
ATT07122,DLI24SDA000037,2025-12-08,Present,No,N
ATT06601,DLI24SDA000027,2025-04-27,Present,N,No
ATT10904,DLI23SDA009850,2026-03-21,Present,no,Yes
ATT02598,DLI23SDA000015,2025-12-08,Absent,no,No
ATT02123,DLI23SDA000005,2026-02-08,Absent,no,yes
ATT02080,DLI23SDA000004,2026-04-25,Present,No,no
ATT01040,DLI22SDA000039,2024-11-10,Present,No,no
ATT02105,DLI23SDA000005,2025-03-29,Present,No,no
ATT04966,DLI23SDA000065,2024-08-24,Present,N,no
ATT00683,DLI22SDA000026,2024-09-22,Present,N,NO
ATT02887,DLI23SDA000021,2026-01-03,PRESENT,NO,NO
ATT01291,DLI22SDA000048,2025-03-02,Present,NO,NO
ATT05021,DLI23SDA000066,2024-10-20,absent,No,No
ATT00678,DLI22SDA000026,2024-08-17,P,No,N
ATT07975,DLI24SDA000054,2025-03-02,Absent,NO,No
ATT04072,DLI23SDA000046,2025-03-02,Present,No,No
ATT09528,DLI25SDA000030,2026-01-24,Present,No,N
ATT10228,DLI25SDA000059,2026-03-21,Present,No,No
ATT02866,DLI23SDA000021,2024-11-30,Present,no,no
ATT07948,DLI24SDA000053,2026-04-25,Present,N,No
ATT04233,DLI23SDA000049,2026-01-24,Present,yes,N
ATT02035,DLI23SDA000004,2024-08-04,present,No,N
ATT08207,DLI24SDA000058,2026-07-18,Present,no,No
ATT04951,DLI23SDA000064,2026-01-03,Present,No,No
ATT05209,DLI23SDA000070,2024-09-14,Present,N,No
ATT04118,DLI23SDA000047,2025-01-26,Present,NO,No
ATT07025,DLI24SDA000035,2026-02-08,Present,NO,No
ATT03416,DLI23SDA000032,2026-01-17,Present,No,NO
ATT09837,DLI25SDA000043,2025-12-08,Present,No,No
ATT03977,DLI23SDA000044,2025-03-29,Present,YES,no
ATT09238,DLI25SDA000018,2026-01-03,Present,no,N
ATT08093,DLI24SDA000056,2026-01-17,Present,NO,No
ATT03057,DLI23SDA000025,2024-11-17,Present,no,NO
ATT03773,DLI23SDA000040,2024-10-20,Present,NO,NO
ATT00823,DLI22SDA000031,2024-10-31,Present,NO,N
ATT06020,DLI24SDA000016,2024-09-01,present,NO,No
